00:00:00.000,00:00:00.975,OrangeT1_23_01
00:00:00.975,00:00:04.470,OrangeT1_23_02
00:00:04.470,00:00:07.655,OrangeT1_23_03
00:00:07.655,00:00:08.923,OrangeT1_23_04
00:00:08.923,00:00:10.992,OrangeT1_23_05
00:00:10.992,00:00:13.801,OrangeT1_23_06
00:00:13.801,00:00:16.810,OrangeT1_23_07
00:00:16.810,00:00:18.287,OrangeT1_23_08
00:00:18.287,00:00:20.418,OrangeT1_23_09
00:00:20.418,00:00:23.143,OrangeT1_23_10
00:00:23.143,00:00:25.216,OrangeT1_23_11
00:00:25.216,00:00:29.496,OrangeT1_23_12
00:00:29.496,00:00:37.074,OrangeT1_23_13
00:00:37.074,00:00:43.447,OrangeT1_23_14
00:00:43.447,00:00:47.044,OrangeT1_23_15
00:00:47.044,00:00:49.278,OrangeT1_23_16
00:00:49.278,00:00:54.480,OrangeT1_23_17
00:00:54.480,00:00:57.789,OrangeT1_23_18
00:00:57.789,00:01:06.293,OrangeT1_23_19
00:01:06.293,00:01:11.507,OrangeT1_23_20
00:01:11.507,00:01:13.425,OrangeT1_23_21
00:01:13.425,00:01:16.808,OrangeT1_23_22
00:01:16.808,00:01:20.178,OrangeT1_23_23
00:01:20.178,00:01:22.095,OrangeT1_23_24
00:01:22.095,00:01:25.165,OrangeT1_23_25
00:01:25.165,00:01:27.537,OrangeT1_23_26
00:01:27.537,00:01:28.960,OrangeT1_23_27
00:01:28.960,00:01:31.600,OrangeT1_23_28
