00:00:00.000,00:00:00.159,OrangeT1_27_01
00:00:00.159,00:00:01.476,OrangeT1_27_02
00:00:01.476,00:00:04.461,OrangeT1_27_03
00:00:04.461,00:00:06.153,OrangeT1_27_04
00:00:06.153,00:00:08.925,OrangeT1_27_05
00:00:08.925,00:00:16.207,OrangeT1_27_06
00:00:16.207,00:00:19.991,OrangeT1_27_07
00:00:19.991,00:00:24.294,OrangeT1_27_08
00:00:24.294,00:00:26.715,OrangeT1_27_09
00:00:26.715,00:00:29.324,OrangeT1_27_10
00:00:29.324,00:00:31.648,OrangeT1_27_11
00:00:31.648,00:00:34.770,OrangeT1_27_12
00:00:34.770,00:00:37.944,OrangeT1_27_13
00:00:37.944,00:00:42.962,OrangeT1_27_14
00:00:42.962,00:00:46.537,OrangeT1_27_15
00:00:46.537,00:00:53.267,OrangeT1_27_16
00:00:53.267,00:00:56.798,OrangeT1_27_17
00:00:56.798,00:01:01.112,OrangeT1_27_18
00:01:01.112,00:01:03.591,OrangeT1_27_19
00:01:03.591,00:01:05.072,OrangeT1_27_20
00:01:05.072,00:01:08.394,OrangeT1_27_21
00:01:08.394,00:01:11.477,OrangeT1_27_22
00:01:11.477,00:01:14.824,OrangeT1_27_23
00:01:14.824,00:01:17.788,OrangeT1_27_24
00:01:17.788,00:01:22.180,OrangeT1_27_25
00:01:22.180,00:01:23.896,OrangeT1_27_26
00:01:23.896,00:01:26.908,OrangeT1_27_27
00:01:26.908,00:01:29.212,OrangeT1_27_28
00:01:29.212,00:01:31.323,OrangeT1_27_29
00:01:31.323,00:01:35.568,OrangeT1_27_30
00:01:35.568,00:01:39.511,OrangeT1_27_31
00:01:39.511,00:01:41.734,OrangeT1_27_32
00:01:41.734,00:01:43.996,OrangeT1_27_33
00:01:43.996,00:01:50.416,OrangeT1_27_34
00:01:50.416,00:01:53.492,OrangeT1_27_35
00:01:53.492,00:01:57.738,OrangeT1_27_36
00:01:57.738,00:01:59.704,OrangeT1_27_37
00:01:59.704,00:02:02.192,OrangeT1_27_38
00:02:02.192,00:02:03.962,OrangeT1_27_39
00:02:03.962,00:02:05.216,OrangeT1_27_40
00:02:05.216,00:02:09.817,OrangeT1_27_41
00:02:09.817,00:02:11.065,OrangeT1_27_42
00:02:11.065,00:02:13.621,OrangeT1_27_43
00:02:13.621,00:02:15.730,OrangeT1_27_44
00:02:15.730,00:02:18.591,OrangeT1_27_45
00:02:18.591,00:02:20.208,OrangeT1_27_46
00:02:20.208,00:02:22.795,OrangeT1_27_47
00:02:22.795,00:02:24.258,OrangeT1_27_48
00:02:24.258,00:02:26.710,OrangeT1_27_49
